store_nbr,store_name,latitude,longitude
10,TAHLEQUAH OK,35.888807,-94.979814
"3,229","VERNON, TX",34.163406,-99.310215
"3,281",HARBORCREEK PA,42.159486,-79.968079
"5,439","NEW HAVEN, CT",41.320072,-72.876921
"5,131","BENSALEM, PA",40.136561,-74.967566
464,CORPUS CHRISTI TX,27.853789,-97.633311
"4,137",TACOMA WA,47.240022,-122.478581
289,MCGEHEE AR EF,33.604013,-91.381129
"2,247","CARY, NC",35.736822,-78.782797
"3,568",WEST VALLEY CITY UT,40.702212,-112.027262
"2,992","CORNING, NY",42.155559,-77.106849
"5,211",MCKINNEY (SW) TX,33.156226,-96.682516
"5,133","ANDERSON, CA",40.431309,-122.289588
"2,792","WAYNE, WV",38.256797,-82.429866
"3,997",PCCC BEING REVIEWED FOR RECLAM,42.0361,-93.8802
"3,998",PCCC BEING REVIEWED FOR RECLAM,42.072073,-80.188762
"5,103",PHILADELPHIA (NE) PA,40.031617,-75.099474
"1,683",SHANANDOAH IA,40.761882,-95.382507
"1,779",BRIDGEVIEW IL,41.706615,-87.800451
"1,690",DECATUR IL,39.899849,-88.951538
"4,641","HUNTLEY, IL",42.151522,-88.428895
"1,333",VAN WERT OH,40.889105,-84.578805
969,GULFPORT MS,30.423224,-89.088697
"5,797","ALBANY (E), GA",31.578974,-84.086699
"2,366","NORTH ATTLEBORO, MA",41.933504,-71.350175
"2,866","OKEMOS, MI",42.728746,-84.407114
974,"WEST MELBOURNE, FL",28.037851,-80.647798
"1,995","CHUBBUCK, ID",42.909941,-112.463531
"3,497","PLYMOUTH, WI",43.751727,-87.945401
"1,204",LAKE CHARLES (W) LA,30.195119,-93.246035
"1,954","SANFORD, ME",43.401093,-70.699657
"2,387","BRANDON, (W) FL",27.925404,-82.325442
"1,417",PRESCOTT AZ,34.554751,-112.408551
"1,571",MUKWONAGO WI,42.854196,-88.314849
"1,596",BOLINGBROOK IL,41.695929,-88.065112
"1,860","ELKTON, MD",39.603188,-75.792787
"7,324",HUNTSVILLE E AL,34.820138,-86.492473
"1,256",JOLIET IL,41.518939,-88.142262
"1,594",HEATH OH,40.028417,-82.452264
"2,143","SKOWHEGAN, ME",44.780327,-69.730849
"2,900","ROCKY HILL, CT",41.679164,-72.657446
"1,368",WEST UNION OH,38.784625,-83.564768
"1,350",LYNCHBURG VA,37.353858,-79.185642
"1,260",LUCEDALE MS,30.901798,-88.595164
"3,310","DELTONA (HWIND/415), FL",28.869772,-81.164118
214,JASPER TX,30.908289,-94.015453
"1,741",MILFORD DE,38.929245,-75.435194
"3,432","DESOTO, TX",32.592876,-96.879774
"2,422","ST HELENS, OR",45.847376,-122.831296
"1,891","MANCHESTER, CT",41.806617,-72.537646
"3,129",EASTVALE CA - LND,33.973673,-119.591927
"2,903","CHELMSFORD, MA",42.622852,-71.360742
"1,194",OAK RIDGE TN,36.008741,-84.253149
"1,438",CEDAR CITY UT,37.654496,-113.088318
"4,639","ELIZABETH, CO",39.360452,-104.623541
"1,421",WASHINGTON/ MEADOWS,40.706877,-89.456994
"3,725","NILES, IL",42.056526,-87.835442
"1,446",RICE LAKE WI,45.475922,-91.762345
"3,660","CHATTANOOGA(SW), TN",35.015665,-85.376526
794,HUTCHINSON KS,38.070207,-97.892303
"7,246",COCHRAN GA,32.400273,-83.336305
"3,372",LARGO CROSSROAD FL,27.913073,-82.727778
136,BLACKWELL OK  EF,36.810219,-97.297407
491,PADUCAH KY,37.072638,-88.688346
"3,224","GARLAND (SE), TX",32.842368,-96.597859
536,ABILENE TX (N),32.480892,-99.698064
"1,889","ISLAND CITY, OR",45.335387,-118.058408
"3,893","ZION, IL",42.466596,-87.867805
"5,625",BROOKLYN CENTER MN,45.056368,-93.316262
"1,960","TAMPA, FL (S)",27.957315,-82.502404
"5,342",YUMA (W) AZ,32.681582,-114.647261
"1,566",GOSHEN IN,41.616865,-85.900147
"2,566","CHARLES TOWN, WV",39.300311,-77.827361
"3,781","INDIANAPOLIS (LAFYTE), IN",39.838269,-86.244164
664,HAYS KS,38.903256,-99.321237
564,"OKLAHOMA CITY(W), OK",35.463341,-97.622121
"5,381","BETHEL PARK, PA",40.338922,-80.023516
708,VICKSBURG MS,32.307869,-90.891242
"1,584",LAS VEGAS (SW) NV,36.123214,-115.246524
"1,750",MARION OH,40.584009,-83.088355
"3,888","SAN ANTONIO (SW1604), TX",29.433711,-98.713558
"4,341","TRUTH OR CONSEQUENCES, NM",33.152661,-107.249698
"3,541",KENNETT SQUARE PA,39.861153,-75.690187
"5,457",OAKLAND (S) CA,37.739968,-122.198224
"3,780","FALLSTON, MD",39.498449,-76.384659
"3,366","CENTERVILLE, UT",40.919007,-111.883825
538,GAINESVILLE FL,29.708535,-82.356612
774,COLUMBUS NE,41.441248,-97.316973
"5,141","OMAHA (NW), NE",41.294744,-96.180131
607,HOBART OK,35.017074,-99.104222
"5,764","FORT WORTH (HASLET), TX",32.967446,-97.411477
"3,814","JUNEAU, AK",58.358396,-134.513918
"3,577",SHIP FROM STORE,42.693801,-73.849
"1,925","NEWPORT, OR",44.656618,-124.054416
"4,183",BRYAN WEST TX,30.631993,-96.381926
954,HAZELHURST MS,31.871416,-90.409318
497,"SHELBYVILLE, KY",38.210191,-85.265278
23,RUSTON LA,32.543518,-92.624043
"2,086","PLANO, TX",33.024511,-96.827997
"1,398",LAKE WORTH FL,26.574934,-80.114466
